metier;sexe;annee_naissance;random_id_client;enfant_conduite_accompagne;nombre_enfants;tranches_salaires;Tranche_valeur_residence_principale;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande.1;etat_dossier;formule;Tranche_tarif_devis
animateur du patrimoine;F;1999;51390453229;FAUX;VRAI;+ 80K;0 - 0K;Commercial;Sports Car;0;7.0;Highly Urban/ Urban;25/02/2022;complet;dev_integral;300 - 400€
déclarant en douane;F;1959;46745731919;FAUX;FAUX;0 - 20K;Inconnu;Private;z_SUV;0;1.0;Highly Urban/ Urban;25/02/2022;incomplet;dev_premium;300 - 400€
préparateur en pharmacie;F;1932;468769101;VRAI;VRAI;40 - 60K;0 - 0K;Private;Minivan;2;1.0;Highly Urban/ Urban;24/05/2022;complet;dev_express;200 - 300€
électricien installateur installatrice;F;1978;42107882870;FAUX;VRAI;20 - 40K;0 - 0K;Private;Pickup;0;4.0;z_Highly Rural/ Rural;24/01/2022;complet;dev_express;200 - 300€
chargé de veille législative et réglementaire;F;2021;34744424450;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;3;5.0;Highly Urban/ Urban;20/04/2022;complet;dev_integral;200 - 300€
conseiller pénitentiaire d'insertion et de probation;M;1956;4080767981;FAUX;FAUX;Inconnu;200 - 300K;Commercial;Panel Truck;2;12.0;Highly Urban/ Urban;23/03/2022;complet;dev_vip;+ 500€
staffeur-ornemaniste;F;1992;33851334783;FAUX;VRAI;60 - 80K;200 - 300K;Private;z_SUV;2;15.0;z_Highly Rural/ Rural;23/03/2022;complet;dev_premium;400 - 500€
technicien électrotechnicien électrotechnicienne;F;1941;17394161582;VRAI;VRAI;+ 80K;300 - 400K;Commercial;Minivan;0;9.0;z_Highly Rural/ Rural;13/03/2022;complet;dev_express;200 - 300€
gestionnaire de patrimoine;M;1956;40520707881;FAUX;FAUX;40 - 60K;200 - 300K;Private;z_SUV;1;10.0;Highly Urban/ Urban;09/03/2022;complet;dev_premium;300 - 400€
officier de gendarmerie;M;1956;51099509302;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;0;14.0;Highly Urban/ Urban;29/01/2022;complet;dev_premium;300 - 400€
peintre en bâtiment;F;1974;23670815458;FAUX;FAUX;Inconnu;200 - 300K;Commercial;Panel Truck;1;10.0;Highly Urban/ Urban;26/03/2022;complet;dev_integral;300 - 400€
intégrateur web;F;1967;54638310009;VRAI;VRAI;20 - 40K;0 - 0K;Private;Minivan;0;10.0;Highly Urban/ Urban;26/05/2022;complet;dev_express;200 - 300€
coordonnateur d'études cliniques;M;2017;2704013542;FAUX;VRAI;20 - 40K;0 - 100K;Private;z_SUV;0;1.0;Highly Urban/ Urban;27/01/2022;complet;dev_premium;300 - 400€
chargé de clientèle banque;F;1950;25369584581;FAUX;FAUX;60 - 80K;0 - 0K;Private;z_SUV;0;18.0;Highly Urban/ Urban;08/05/2022;complet;dev_express;200 - 300€
audioprothésiste;M;2017;2749796421;FAUX;FAUX;0 - 20K;0 - 0K;Commercial;Van;5;6.0;z_Highly Rural/ Rural;02/05/2022;complet;dev_integral;300 - 400€
ingénieur opticien opticienne;M;1945;22969609898;FAUX;VRAI;20 - 40K;200 - 300K;Private;Minivan;0;1.0;Highly Urban/ Urban;15/04/2022;complet;dev_integral;300 - 400€
accompagnateur de tourisme équestre;M;1938;10890111499;FAUX;FAUX;40 - 60K;100 - 200K;Private;Minivan;0;13.0;Highly Urban/ Urban;11/05/2022;complet;dev_express;200 - 300€
conseiller en fusions-acquisitions;F;1973;45169056452;FAUX;FAUX;+ 80K;300 - 400K;Private;z_SUV;0;15.0;Highly Urban/ Urban;12/04/2022;complet;dev_integral;300 - 400€
hydrogéologue;F;1936;6286813027;FAUX;FAUX;40 - 60K;0 - 0K;Commercial;Van;1;8.0;Highly Urban/ Urban;04/03/2022;complet;dev_express;200 - 300€
toiletteur d'animaux;F;1955;20723395115;FAUX;FAUX;60 - 80K;200 - 300K;Private;Minivan;0;11.0;Highly Urban/ Urban;05/02/2022;complet;dev_express;200 - 300€
charpentier métallique;F;1940;14337989902;FAUX;FAUX;40 - 60K;100 - 200K;Private;z_SUV;0;10.0;Highly Urban/ Urban;25/04/2022;complet;dev_integral;200 - 300€
anatomiste;M;1988;24271167834;FAUX;VRAI;60 - 80K;200 - 300K;Private;Minivan;0;16.0;z_Highly Rural/ Rural;20/03/2022;complet;dev_express;200 - 300€
designer industriel industrielle;M;1931;44075922978;VRAI;VRAI;20 - 40K;100 - 200K;Private;Minivan;1;;Highly Urban/ Urban;27/03/2022;complet;dev_premium;300 - 400€
chargé des relations publiques;F;2000;34343080431;FAUX;FAUX;Inconnu;100 - 200K;Commercial;Van;0;7.0;Highly Urban/ Urban;16/05/2022;complet;dev_premium;300 - 400€
conducteur de train;F;1992;23283921542;VRAI;VRAI;0 - 20K;0 - 0K;Commercial;Pickup;4;1.0;Highly Urban/ Urban;25/03/2022;incomplet;dev_express;200 - 300€
animateur nature nature;F;1941;5511361985;FAUX;VRAI;40 - 60K;200 - 300K;Commercial;Sports Car;5;1.0;Highly Urban/ Urban;06/02/2022;complet;dev_premium;400 - 500€
ingénieur réservoir;M;2004;27232860985;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Pickup;1;1.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;200 - 300€
collaborateur de notaire de notaire;M;1957;54945803436;FAUX;FAUX;Inconnu;Inconnu;Private;Minivan;1;;z_Highly Rural/ Rural;13/04/2022;complet;dev_express;200 - 300€
architecte réseaux;F;1998;22693089937;FAUX;FAUX;40 - 60K;0 - 0K;Private;Sports Car;0;1.0;z_Highly Rural/ Rural;22/03/2022;complet;dev_integral;200 - 300€
styliste;F;1978;54445695246;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;5;;Highly Urban/ Urban;22/04/2022;complet;dev_integral;200 - 300€
huissier de justice;F;1969;55149648495;FAUX;FAUX;40 - 60K;100 - 200K;Private;z_SUV;0;1.0;Highly Urban/ Urban;23/03/2022;complet;dev_vip;+ 500€
secrétaire;M;2011;22347069569;FAUX;VRAI;40 - 60K;200 - 300K;Commercial;Panel Truck;0;20.0;Highly Urban/ Urban;21/03/2022;incomplet;dev_integral;300 - 400€
agronome;F;2006;17141428179;FAUX;FAUX;+ 80K;300 - 400K;Private;z_SUV;0;17.0;Highly Urban/ Urban;12/02/2022;complet;dev_premium;300 - 400€
technico-commercial en agroalimentaire;F;1974;19752515305;FAUX;VRAI;20 - 40K;100 - 200K;Private;z_SUV;0;1.0;Highly Urban/ Urban;14/01/2022;complet;dev_express;200 - 300€
conducteur de travaux;M;1984;38108341723;FAUX;VRAI;20 - 40K;0 - 0K;Commercial;Minivan;6;5.0;z_Highly Rural/ Rural;09/04/2022;complet;dev_integral;300 - 400€
ingénieur en génie climatique;F;1957;9458377851;FAUX;FAUX;+ 80K;0 - 0K;Private;z_SUV;3;9.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;200 - 300€
biostatisticien;M;2018;55720724717;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;2;6.0;z_Highly Rural/ Rural;04/02/2022;complet;dev_premium;400 - 500€
technicien d'analyses biomédicales;M;1978;35073577780;VRAI;VRAI;60 - 80K;200 - 300K;Private;Sports Car;0;12.0;Highly Urban/ Urban;05/02/2022;complet;dev_express;200 - 300€
ingénieur de recherche clinique et épidémiologique;F;1954;58969477117;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;0;9.0;Highly Urban/ Urban;08/02/2022;complet;dev_integral;300 - 400€
responsable du service après-vente;F;1961;7433563990;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Sports Car;0;15.0;Highly Urban/ Urban;06/02/2022;complet;dev_express;200 - 300€
sellier;F;2016;17402508784;FAUX;VRAI;+ 80K;300 - 400K;Private;z_SUV;2;14.0;Highly Urban/ Urban;09/02/2022;complet;dev_integral;200 - 300€
responsable du back office;F;1967;13812389464;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;0;15.0;Highly Urban/ Urban;26/05/2022;complet;dev_integral;200 - 300€
